original_article,duplicate_article,link1_length,link2_length,link3_length,link4_length,is circular reporting?
delfi.ee/artikkel/120199056,err.ee/1608998998,3,2,,,FALSE
delfi.ee/artikkel/120188952,delfi.ee/artikkel/120173332,3,2,,,FALSE
delfi.ee/artikkel/120183676,delfi.ee/artikkel/120183470,3,2,,,FALSE
delfi.ee/artikkel/120181178,delfi.ee/artikkel/120033110,2,3,,,FALSE
delfi.ee/artikkel/120180152,err.ee/1608962620,3,2,,,TRUE
delfi.ee/artikkel/120179722,delfi.ee/artikkel/120177876,2,3,,,FALSE
delfi.ee/artikkel/120179722,err.ee/1608957268,3,2,,,FALSE
delfi.ee/artikkel/120179722,delfi.ee/artikkel/120173332,3,2,,,FALSE
delfi.ee/artikkel/120176616,delfi.ee/artikkel/120174760,3,2,,,FALSE
delfi.ee/artikkel/120175832,delfi.ee/artikkel/120173332,2,3,,,FALSE
delfi.ee/artikkel/120171652,delfi.ee/artikkel/120171610,2,2,,,FALSE
delfi.ee/artikkel/120158786,delfi.ee/artikkel/120146238,2,3,,,FALSE
delfi.ee/artikkel/120157592,delfi.ee/artikkel/120146238,2,3,,,FALSE
delfi.ee/artikkel/120132226,delfi.ee/artikkel/120127632,2,3,,,FALSE
delfi.ee/artikkel/120109436,delfi.ee/artikkel/120098416,3,2,,,FALSE
delfi.ee/artikkel/120083314,delfi.ee/artikkel/120074372,2,3,,,FALSE
delfi.ee/artikkel/120057004,err.ee/1608691693,3,2,,,FALSE
delfi.ee/artikkel/120050240,postimees.ee/7573693,3,2,,,FALSE
delfi.ee/artikkel/120041716,err.ee/959722,3,2,,,FALSE
delfi.ee/artikkel/120041716,err.ee/946108,3,2,,,FALSE
delfi.ee/artikkel/120237793,delfi.ee/artikkel/120235225,2,3,,,FALSE
delfi.ee/artikkel/120237793,delfi.ee/artikkel/120237116,2,3,,,FALSE
delfi.ee/artikkel/120237370,delfi.ee/artikkel/120235225,2,3,,,FALSE
delfi.ee/artikkel/120237370,delfi.ee/artikkel/120236937,2,3,,,FALSE
delfi.ee/artikkel/96243465,delfi.ee/artikkel/94957201,3,2,,,FALSE
delfi.ee/artikkel/92854711,delfi.ee/artikkel/92828523,3,2,,,FALSE
delfi.ee/artikkel/120329689,delfi.ee/artikkel/120002674,3,2,,,FALSE
delfi.ee/artikkel/120322082,delfi.ee/artikkel/120174760,3,2,,,FALSE
delfi.ee/artikkel/120299796,delfi.ee/artikkel/120298213,2,3,,,FALSE
delfi.ee/artikkel/120298038,delfi.ee/artikkel/120098678,3,2,,,FALSE
delfi.ee/artikkel/120327005,delfi.ee/artikkel/120280988,3,2,,,FALSE
delfi.ee/artikkel/120292908,delfi.ee/artikkel/120292309,3,2,,,FALSE
delfi.ee/artikkel/120216130,delfi.ee/artikkel/120215112,3,2,,,FALSE
delfi.ee/artikkel/120177012,delfi.ee/artikkel/120176868,2,3,,,FALSE
delfi.ee/artikkel/120271584,delfi.ee/artikkel/120270542,2,3,,,FALSE
delfi.ee/artikkel/120270803,delfi.ee/artikkel/120270542,2,3,,,FALSE
delfi.ee/artikkel/120234228,delfi.ee/artikkel/120233930,2,3,,,FALSE
delfi.ee/artikkel/120214708,delfi.ee/artikkel/120213104,3,3,,,FALSE
delfi.ee/artikkel/120191048,delfi.ee/artikkel/120190862,2,3,,,FALSE
delfi.ee/artikkel/120073306,delfi.ee/artikkel/120069292,2,3,,,FALSE
delfi.ee/artikkel/120049914,delfi.ee/artikkel/120049262,3,2,,,FALSE
delfi.ee/artikkel/96605513,delfi.ee/artikkel/91411201,2,3,,,FALSE
delfi.ee/artikkel/94737081,delfi.ee/artikkel/94647715,2,3,3,,FALSE
delfi.ee/artikkel/94647715,delfi.ee/artikkel/93776527,2,3,,,FALSE
delfi.ee/artikkel/94443459,delfi.ee/artikkel/92416481,2,3,,,FALSE
delfi.ee/artikkel/93983973,delfi.ee/artikkel/93634191,3,2,,,FALSE
delfi.ee/artikkel/93224603,delfi.ee/artikkel/92480237,2,3,,,FALSE
delfi.ee/artikkel/86976979,err.ee/254510,3,2,,,FALSE
delfi.ee/artikkel/89672889,postimees.ee/6958562,3,2,,,FALSE
delfi.ee/artikkel/120248597,delfi.ee/artikkel/120214092,2,3,,,FALSE
delfi.ee/artikkel/120246757,delfi.ee/artikkel/120214092,2,3,,,FALSE
delfi.ee/artikkel/120216575,delfi.ee/artikkel/120215748,2,3,,,FALSE
delfi.ee/artikkel/120151128,err.ee/967802,2,3,,,FALSE
postimees.ee/7900691,postimees.ee/7900691,1,3,,,FALSE
postimees.ee/7898362,postimees.ee/7898362,1,3,,,FALSE
postimees.ee/7715581,postimees.ee/7715581,1,3,,,FALSE
postimees.ee/8051055,postimees.ee/8051055,1,3,,,FALSE
postimees.ee/8051049,postimees.ee/8051049,1,3,,,FALSE
postimees.ee/8040113,postimees.ee/8040113,1,2,,,TRUE
postimees.ee/8007845,postimees.ee/8007845,1,3,3,,FALSE
postimees.ee/7489552,postimees.ee/7489552,1,3,3,,FALSE
postimees.ee/7158381,postimees.ee/7158381,1,3,,,FALSE
postimees.ee/7158294,postimees.ee/7158294,1,3,,,FALSE
postimees.ee/7954917,postimees.ee/7954917,1,3,,,FALSE
postimees.ee/7954921,postimees.ee/7954921,1,3,,,FALSE
postimees.ee/7868540,postimees.ee/7868540,1,2,,,TRUE
postimees.ee/7659110,postimees.ee/7659110,1,2,,,TRUE
postimees.ee/8068080,postimees.ee/8068080,1,2,,,TRUE
postimees.ee/8086368,postimees.ee/8086368,1,3,,,FALSE
postimees.ee/8086284,postimees.ee/8086284,1,3,,,FALSE
postimees.ee/8020046,postimees.ee/8020046,1,3,,,FALSE
postimees.ee/8019985,postimees.ee/8019985,1,3,,,FALSE
postimees.ee/7995100,postimees.ee/7995100,1,3,,,FALSE
postimees.ee/7995088,postimees.ee/7995088,1,3,,,FALSE
